nombre,direccion,ciudad,precio,dormitorios,baños,metros,precio_m2
Cómodo Depto. Ubicado En Parque Universitario (94401),"Oportunidad Arriendo En Portal Universitario, Jardines Del Sur, Antofagasta",antofagasta,550000,3,1,40,13750
Se Arrienda Depto Edificio Porto Alegre (101426),"Galleguillos Lorca 1 - 300, Parque Brasil, Antofagasta",antofagasta,1400000,3,3,120,11667
Exclusivo Departamento  (101071),"Antilhue 600 - 900, Antofagasta, Chile, Playa Blanca, Antofagasta",antofagasta,900000,3,2,72,12500
Se Arrienda Dpto Amoblado A Empresas.  (86651),"Galleguillos Lorca 600 - 900, Parque Brasil, Antofagasta",antofagasta,1500000,2,2,60,25000
Se Arrienda Dpto Full Amoblado Para Empresa. (96997),"Los Conquistadores 1 - 300, Costa Laguna, Antofagasta",antofagasta,1000000,3,1,60,16667
Se Arrienda Departamento Nuevo. (98346),"Avenida Argentina 1 - 300, Estadio Calvo Y Bascuñán, Antofagasta",antofagasta,850000,3,2,107,7944
Arriendo Depto Sector Sur Antofagasta (99408),"ARRIENDO DEPTO 1 - 300DORMITORIOS ANTOFAGASTA, Playa Blanca, Antofagasta",antofagasta,850000,3,2,100,8500
Arriendo A Empresas Y Particulares (102409),"Luis Franco Ávalos, Antofagasta, Chile, Playa Blanca, Antofagasta",antofagasta,1400000,3,3,120,11667
Departamento Valle Del Mar (103698),"Valle Del Mar 3600 - 3900, Antofagasta, Chile, Jardines Del Sur, Antofagasta",antofagasta,900000,2,2,96,9375
Departamento Palmas Del Sur 1 (101607),"Avenida Jaime Guzmán Errázuriz 1 - 300, Jardines Del Sur, Antofagasta",antofagasta,790000,2,2,70,11286
Excéntrico Conectividad Ricaventura   (101035),"Avenida Rica Aventura 1 - 300, Parque Juan López, Antofagasta",antofagasta,850000,2,2,71,11972
Se Arrienda Amplio Departamento (103545),"Avenida Pedro Aguirre Cerda 300 - 600, Trocadero, Antofagasta",antofagasta,700000,3,2,76,9211
Se Arrienda Departamento En Antofagasta (102980),"Sierra Nevada 10500 - 10800, Parque Juan López, Antofagasta",antofagasta,620000,3,1,55,11273
Se Arrienda Departamento En Antofagasta (101000),"Osvaldo Silva Castellón 1 - 300, Playa Blanca, Antofagasta",antofagasta,1000000,3,2,95,10526
Se Arrienda Departamento En Antofagasta (98224),"Lidia Moreno 1 - 300, Parque Juan López, Antofagasta",antofagasta,550000,1,1,40,13750
Oportunidad Arriendo Departamento (103511),"Sierra Nevada 300 - 600, Parque Juan López, Antofagasta",antofagasta,550000,2,1,60,9167
Se Arrienda Departamento (103045),"Avenida Iquique 300 - 600, Playa Paraíso, Antofagasta",antofagasta,680000,2,1,41,16585
Se Arrienda Departamento (101893),"El Yodo 1 - 300, Nicolás Tirado, Antofagasta",antofagasta,720000,3,2,78,9231
Se Arrienda Depto 2d+2b+1est Sin Amoblar 1.000.000/ Semiamob,"Llacolén, Jardines Del Sur, Antofagasta",antofagasta,1000000,2,2,83,12048
Se Arrienda Apart Hotel Con 12 Habitaciones Con Baño Privado,"Cerca Del Antonino Heladería Y Churrería, Parque Brasil, Antofagasta",antofagasta,10987460,12,13,725,15155
Departamento,"Av Edmundo Pérez Zujovic 10890, La Chimba, Antofagasta",antofagasta,1000000,3,2,87,11494
Se Arrienda Departamento Duplex En Condominio Parque Juan Ló,"Lidia Moreno, Parque Juan López, Antofagasta",antofagasta,1000000,4,2,100,10000
Arriendo Departamentos Full Amoblados De Dos Y Tres Dormitor,"JAIME GUZMAN ERRAZURIZ, Jardines Del Sur, Antofagasta",antofagasta,1700000,3,2,130,13077
Se Arrienda Espectacular Departamento Amoblado Estilo Maripo,"Av. Argentina A Pasos De La Avenida Brasil, Parque Brasil, Antofagasta",antofagasta,850000,2,2,52,16346
Arriendo Departamento Amoblado En La Av. Cerro Paranal De La,"AV. CERRO PARANAL, Coviefi, Antofagasta",antofagasta,1300000,3,2,110,11818
Se Arrienda Departamento En El Azufre 23 De 2 D+2b+1 Est Y 1,"EL Azufre 23, Nicolás Tirado, Antofagasta",antofagasta,630000,2,2,70,9000
Exclusiva Ubicación Full Amoblado 3d2b,"Cerro Paranal 270, Coviefi, Antofagasta",antofagasta,1420000,3,2,93,15269
Exclusiva Ubicación 4d 3b Full Amoblado,"Avenida Jaime Guzmán 04794, Antofagasta",antofagasta,1200000,4,3,111,10811
Se Arrienda Departamento Grande Playa Llacolen,"Avenida Jaime Guzman 04794, Centro De Antofagasta, Antofagasta",antofagasta,900000,3,2,120,7500
Se Arrienda Departamento Amoblado Jardines Del Sur,"Avenida Claudio Arrau, Jardines Del Sur, Antofagasta",antofagasta,2000000,3,3,140,14286
Dpto. 2d2b Full Amoblado Ed Santos Ossa,"Calle Copiapo 801, Parque Brasil, Antofagasta",antofagasta,790000,2,2,50,15800
Se Arrienda Departamento En Condominio Faro Norte,"Ascotán Norte 155, Antofagasta, Chile, La Chimba, Antofagasta",antofagasta,650000,2,2,52,12500
Cerro Paranal Dpto. 2d2b Full Amoblado,"Avenida Cerro Paranal 210, Coviefi, Antofagasta",antofagasta,950000,2,2,1,950000
Cerro Paranal Dpto. 3d2b Amoblado - Propiedades Ok,"Avenida Cerro Paranal 271, Coviefi, Antofagasta",antofagasta,1350000,3,2,96,14062
Se Arrienda Departamento Amoblado Sector Norte,"BONASORT 9, La Chimba, Antofagasta",antofagasta,850000,3,2,73,11644
Se Arrienda Departamento En Condominio Faro Norte,"Ascotán Nte. 1 - 300, Antofagasta, La Chimba, Antofagasta",antofagasta,650000,2,2,52,12500
Arriendo Departamento Amoblado En La Av. Cerro Paranal Ciuda,"AV. CERRO PARANAL, Coviefi, Antofagasta",antofagasta,1300000,3,2,98,13265
Departamento Amoblado Excelente Ubicación Sector Sur,"Av. Argentina 1500 - 1800, Antofagasta, Parque Brasil, Antofagasta",antofagasta,700000,1,1,45,15556
Lindo Departamento Sector Parque Brasil,"Galleguillos Lorca 1693, Antofagasta, Parque Brasil, Antofagasta",antofagasta,850000,2,2,79,10759
Departamento Excelente Ubicación Parque Brasil 5d/3b Sin Gc,"Av. Gral. Bernardo O'Higgins 1200 - 1500, Antofagasta, Parque Brasil, Antofagasta",antofagasta,1100000,5,3,134,8209
Espectacular Departamento En Arriendo,"CONDOMINIO VOLCANES, Parque Juan López, Antofagasta",antofagasta,700000,3,1,76,9211
Hermoso Departamento En Arriendo,"EDIFICIO  ROBLE, Parque Juan López, Antofagasta",antofagasta,580000,1,1,44,13182
"Scp Arrienda Depto Sector Norte De Antofagasta, 3h 2b.","SCP ARRIENDA DEPTO SECTOR NORTE DE ANTOFAGASTA, 3H 2B., La Chimba, Antofagasta",antofagasta,1000000,3,2,88,11364
Se Arrienda Departamento,"ANTOFAGASTA, La Chimba, Antofagasta",antofagasta,600000,2,1,60,10000
Se Arrienda Departamento Nuevo,"ANTOFAGASTA, Antofagasta",antofagasta,800000,2,2,60,13333
¡espacioso Dpto. En Arriendo,"ENTRE SALVADOR ALLENDE Y AVENIDA ANTONIO RENDIC, Hospital Regional, Antofagasta",antofagasta,730000,3,2,90,8111
Se Arrienda Departamento Amoblado,"ANTOFAGASTA, Nicolás Tirado, Antofagasta",antofagasta,670000,3,2,90,7444
Se Arrienda Departamento,"ANTOFAGASTA, Centro De Antofagasta, Antofagasta",antofagasta,600000,2,2,65,9231
Arriendo Depto. Amoblado En Antofagasta,"URIBE CON WASHINGTON, Centro De Antofagasta, Antofagasta",antofagasta,790000,1,1,50,15800
Departamento 2 Dormitorios Amoblado - Promo Hot Sale,"Salvador Reyes 1230, Antofagasta, Parque Brasil, Antofagasta",antofagasta,790000,2,2,55,14364
Se Arrienda Departamento Amoblado,"ANTOFAGASTA, Parque Juan López, Antofagasta",antofagasta,710000,1,1,60,11833
Se Arrienda Departamento,"ANTOFAGASTA, Antofagasta",antofagasta,950000,3,2,90,10556
Se Arrienda Departamento Amoblado,"ANTOFAGASTA, Centro De Antofagasta, Antofagasta",antofagasta,610000,2,1,66,9242
"Scp Arrienda Depto 3h ,3b Y 2e, Av Argentina","SCP ARRIENDA DEPTO 3H ,3B Y 2E, AV ARGENTINA, Centro De Antofagasta, Antofagasta",antofagasta,1050000,3,3,97,10825
Se Arrienda Departamento,"ANTOFAGASTA, La Chimba, Antofagasta",antofagasta,630000,3,2,90,7000
Se Arrienda Departamento,"ANTOFAGASTA, Costa Laguna, Antofagasta",antofagasta,510000,3,1,65,7846
Se Arrienda Departamento,"ANTOFAGASTA, Centro De Antofagasta, Antofagasta",antofagasta,700000,2,2,55,12727
Se Arrienda Departamento Amoblado,"ANTOFAGASTA, Parque Juan López, Antofagasta",antofagasta,690000,2,2,60,11500
Se Arrienda Departamento,"ANTOFAGASTA, Costa Laguna, Antofagasta",antofagasta,1150000,3,2,100,11500
Depto. Caparrosa I,"DEPTO. CAPARROSA I, Parque Juan López, Antofagasta",antofagasta,550000,1,1,38,14474
"Scp Arrienda Dept , 2h, 1b, 1e Sector Costa Laguna Amoblado","SCP ARRIENDA DEPT , 2H, 1B, 1E SECTOR COSTA LAGUNA AMOBLADO, Costa Laguna, Antofagasta",antofagasta,700000,2,1,57,12281
Depto. Amoblado Edificio Don Pedro,"DEPTO. AMOBLADO EDIFICIO DON PEDRO, Centro De Antofagasta, Antofagasta",antofagasta,1300000,3,2,100,13000
Antofagasta,"ANTOFAGASTA, Nicolás Tirado, Antofagasta",antofagasta,680000,2,2,75,9067
Departamento 2 Dormitorios 1 Baño En Piso 24 - En Arriendo,"Av. Edmundo Pérez Zujovic 5134, Antofagasta, Hospital Regional, Antofagasta",antofagasta,610000,2,1,43,14186
Se Vende Departamento,"ANTOFAGASTA, Nicolás Tirado, Antofagasta",antofagasta,92216186,1,1,50,1844324
Ultimo Departamento 2 Dormitorios Promo Hot Sale,"Av. Edmundo Pérez Zujovic 5134, Antofagasta, Hospital Regional, Antofagasta",antofagasta,540000,2,1,43,12558
"Arriendo 3d, 2 B Antofagasta. Llacolén. Sin Aval. Sin I.p.c","Av. Jaime Guzmán Errázuriz 5106, Antofagasta, Antofagasta",antofagasta,820000,3,2,97,8454
An189a Depto 3d2b1e1bo Línea Costera Bahía Blanca Sec. Norte,"Av Edmundo Perez Zujovic 10890, La Chimba, Antofagasta",antofagasta,870000,3,2,100,8700
Edif. Ipanema. 3d-3b Full Amoblado. Gci. Gran Departamento,"EDIF. IPANEMA. 3D-3B FULL AMOBLADO. GCI. GRAN DEPARTAMENTO, Parque Brasil, Antofagasta",antofagasta,1600000,3,3,100,16000
Depto Avda Brasil 1d/1b Sin Amoblar,"DEPTO AVDA BRASIL 1D/1B SIN AMOBLAR, Parque Brasil, Antofagasta",antofagasta,680000,1,1,50,13600
Depto Vista Al Mar 3d1b1e Parque Universitario,"Emile Sironvalle 715, Antofagasta, Antofagasta 1240000, Chile, Jardines Del Sur, Antofagasta",antofagasta,530000,3,1,50,10600
Arriendo 3d2b (disponible Arriendo Con Opción De Compra),"Av. Jaime Guzmán Errázuriz 5106, Antofagasta",antofagasta,820000,3,2,83,9880
"Edif. Copacabana, 2d-2b, Excelente Ubicación. Mas Gc.","EDIF. COPACABANA, 2D-2B, EXCELENTE UBICACIÓN, Parque Brasil, Antofagasta",antofagasta,1000000,2,2,70,14286
Amplio Dpto Con Entrega Inmediata I Sector Centro,"Adamson 3597, 1.2432e+06 - 1.2435e+06 Antofagasta, Chile, Playa Paraíso, Antofagasta",antofagasta,824060,3,2,76,10843
Edif. Porvenir. Central. Gci. 1d-1b.,"EDIF. PORVENIR. CENTRAL. GCI. 1D-1B., Playa Paraíso, Antofagasta",antofagasta,580000,1,1,45,12889
Depto Full Amoblado 2d2b1e Sector Sur Av Argentina - Vyaok,"Avenida Argentina 1340, Antofagasta, Antofagasta 1240000, Chile, Parque Brasil, Antofagasta",antofagasta,885000,2,2,53,16698
Arriendo 4d3b (disponible Arriendo Con Opción De Compra),"Av. Jaime Guzmán Errázuriz 5190, Antofagasta, Antofagasta",antofagasta,1200000,3,2,95,12632
Arriendo Depto Amoblado Av.cerro Paranal Ed. Gea Antofagasta,"Avenida Cerro Paranal, Coviefi, Antofagasta",antofagasta,630000,1,1,45,14000
Departamento En Arriendo 3d/2b/1e/1b Cerro Paranal 271,"Av. Cerro Paranal 271, Antofagasta, Coviefi, Antofagasta",antofagasta,900000,3,2,100,9000
"Arriendo Departamento Amoblado Piso 27 En Edificio Rapallo,","Cerro Paranal  380, Coviefi, Antofagasta",antofagasta,1000000,2,2,81,12346
Arriendo Departamento Edificio El Roble 3d 2b,"Oficina Pedro De Valdivia 196, Antofagasta, Parque Juan López, Antofagasta",antofagasta,850000,3,2,92,9239
"Se Arrienda Espectacular Dpto. Full Amoblado, Llacolen.","Av. Jaime Guzmán Errázuriz 4200 - 4500, Antofagasta, Antofagasta",antofagasta,1320000,2,2,90,14667
Departamento En Arriendo Costa Laguna,"Gladys Marin 625 - Costa Laguna, Antofagasta",antofagasta,1000000,3,2,112,8929
Depto Costa Laguna Con Vista Al Mar,"Gladys Marín, Antofagasta, Costa Laguna, Antofagasta",antofagasta,900000,3,2,90,10000
Hermoso Departamento Nuevo Sector Norte,"Sierra Nevada 11100 - 11400, Antofagasta, La Chimba, Antofagasta",antofagasta,650000,1,1,48,13542
Departamento 2d-2b Parque Costanera,"El Azufre 23, Antofagasta, Nicolás Tirado, Antofagasta",antofagasta,700000,2,2,63,11111
"Arriendo Departamento 3d/2b Frente Al Mar Av Croacia,antofa","Av. República De Croacia 0284, Antofagasta, Playa Blanca, Antofagasta",antofagasta,1100000,3,2,114,9649
"Departamento En Condominio Alcázar Del Mar,  Coviefi.","Trumao 900 - 1200, Antofagasta, Coviefi, Antofagasta",antofagasta,800000,3,2,94,8511
Departamento Costado Jumbo Norte,"Pedro Aguirre Cerda  SN, Trocadero, Antofagasta",antofagasta,800000,3,2,89,8989
Depto 3d/2b Con Terraza Amplia Estac Y Bod. Av Cerro Paranál,"Av Cerro Paranal 375, Coviefi, Antofagasta",antofagasta,900000,3,2,89,10112
Departamento 03 Dormitorios 01 Estacionamiento Condominio,"Oficina Lastenia 11810, Antofagasta, La Chimba, Antofagasta",antofagasta,500000,3,1,60,8333
Arriendo Depto 3d/ 2b Sector Brasil Antofagasta.,"General Velásquez  1046, Parque Brasil, Antofagasta",antofagasta,950000,3,2,94,10106
Departamento En Arriendo En Antofagasta,"Edificio Punta Diamante Torre A, Parque Brasil, Antofagasta",antofagasta,890000,3,2,80,11125
Departamento En Arriendo De 4 Dorm. En Antofagasta,"Departamento Edificio Ayres, Sector Llacolen, Cercano A Colegio A.I.S, Antofagasta",antofagasta,1080000,4,3,107,10093
Departamento En Arriendo De 3 Dorm. En Antofagasta,"Departamento Nuevo Edificio Condores, Detras Del Jumbo Norte, Antofagasta",antofagasta,750000,3,2,82,9146
Departamento En Arriendo De 2 Dorm. En Antofagasta,"Edificio Alerce, Bajo El Parque Juan López, Parque Juan López, Antofagasta",antofagasta,850000,2,2,58,14655
Se  Arrienda Departamento Amoblado Cerro Paranal,"Cerro Paranal SN, Coviefi, Antofagasta",antofagasta,1300000,3,2,100,13000
Departamento Costa Laguna 2d-2b.,"Gladys Marín, Antofagasta, Costa Laguna, Antofagasta",antofagasta,750000,2,2,50,15000
Departamento En Arriendo En Antofagasta,"Departamento Edificio Grenada, Antillas IV, Costado Colegio Chañares, Coviefi, Antofagasta",antofagasta,800000,3,2,98,8163
Departamento 3d-2b Benito Ocampo 11640,"Benito Ocampo 11640, Dpto 401 Torre 1, Antofagasta, La Chimba, Antofagasta",antofagasta,700000,2,2,50,14000
Arriendo Amoblado Ed. Las Aguilas,"Abracita 477, Antofagasta, La Chimba, Antofagasta",antofagasta,900000,2,1,48,18750
Arriendo Dpto Edificio Aires,"Av. Jaime Guzmán Errázuriz, Antofagasta, Antofagasta",antofagasta,1100000,3,2,480,2292
Depto Amoblado Frente Al Mar Sector Brasil Antofagasta,"Manuel Verbal  SN, Parque Brasil, Antofagasta",antofagasta,850000,3,2,92,9239
Depto Duplex 4d3b1e1bo Frente A Parque Juan López,"Lidia Moreno 265, Antofagasta, Región De Antofagasta 1240000, Chile, Parque Juan López, Antofagasta",antofagasta,890000,4,3,130,6846
"Amplio Departamento, Vista Al Mar, Sector Sur.","Valle Del Mar 3600 - 3900, Antofagasta, Jardines Del Sur, Antofagasta",antofagasta,1000000,3,3,120,8333
Arriendo Amoblado Sector Centro Antofagasta,"Copiapo 1064, Parque Brasil, Antofagasta",antofagasta,650000,1,1,37,17568
Arriendo Exclusivo Departamento Amoblado Travesía De Coloso,"Travesia De Coloso, Jardines Del Sur, Antofagasta",antofagasta,1220000,3,2,94,12979
Departamento 02 Dormitorios 02 Baños. Jardines Del Sur.,"Subida Del Desierto 310, Antofagasta, Jardines Del Sur, Antofagasta",antofagasta,700000,2,2,92,7609
Departamento En Arriendo De 3 Dorm. En Antofagasta,"Departamento Nuevo, Edificio Gran Marino, En Plena Avenida Argentina Esquina Antonino Toro, Parque Brasil, Antofagasta",antofagasta,800000,3,2,75,10667
Se Arrienda Departamento En  Sector Residencial,"Antilhue 1675, Antofagasta, Coviefi, Antofagasta",antofagasta,780000,2,2,53,14717
Departamento En Arriendo De 4 Dorm. En Antofagasta,"Departamento Edificio Ayres, Sector Llacolen, Cercano A Colegio A.I.S, Antofagasta",antofagasta,1400000,4,3,107,13084
Arriendo Bello Amoblado 3d-2b Edificio Aurora,"Av. Cerro Paranal 360, Antofagasta, Coviefi, Antofagasta",antofagasta,1300000,3,2,100,13000
"Depto Amoblado En Arriendo En Barrio Brisas, Costa Laguna","Gladys Marín 625, Antofagasta, Chile, Costa Laguna, Antofagasta",antofagasta,850000,3,2,80,10625
¡vive Donde Siempre Soñaste! Depto  En Arriendo  Zona Sur,"Av. Cerro Paranal 210, Antofagasta, Coviefi, Antofagasta",antofagasta,700000,2,2,100,7000
Departamento En Arriendo En Antofagasta,"Departamento Amoblado Edificio Maipu En Pleno Centro De La Ciudad, Centro De Antofagasta, Antofagasta",antofagasta,730000,2,2,65,11231
Departamento En Arriendo De 3 Dorm. En Antofagasta,"Departamento Edificio Salitrera Britania, Sector Parque Universitario, Jardines Del Sur, Antofagasta",antofagasta,530000,3,1,55,9636
Departamento En Arriendo En Antofagasta,"Departamento Amoblado, Edificio Guadalupe, Las Antillas IV, Costado Colegio Chañares, Coviefi, Antofagasta",antofagasta,950000,2,2,70,13571
Departamento Con Dos Dormitorios. Centarl Barrio Estacion.,"Eleuterio Ramírez 390, Antofagasta, Playa Paraíso, Antofagasta",antofagasta,460000,2,1,50,9200
Departamento En Arriendo De 1 Dorm. En Antofagasta,"Edificio Los Pimientos, Sector Coviefi, Antofagasta, Coviefi, Antofagasta",antofagasta,550000,1,1,40,13750
Departamento En Arriendo En Antofagasta,"Edificio Puyehue, En Cerro Paranal, Coviefi, Antofagasta",antofagasta,750000,2,2,70,10714
"Arriendo Depto  Nuevo 4 D 3 B Gran Pacífico, Antofagasta.","Av. Jaime Guzmán Errázuriz 5190, Antofagasta, Antofagasta",antofagasta,1200000,4,3,11,109091
Departamento En Arriendo De 1 Dorm. En Antofagasta,"Departamento Amoblado Edificio El Roble, Sector Norte, A Pasos Del Colegio San Patricio, Parque Juan López, Antofagasta",antofagasta,680000,1,1,35,19429
Se Arrienda Departamento Amoblado En Edificio Maipú,"Av. Balmaceda 2415, Antofagasta, Centro De Antofagasta, Antofagasta",antofagasta,1400000,2,2,76,18421
Departamento En Arriendo De 2 Dorm. En Antofagasta,"Departamento Full Amoblado Edificio Puerto Nuevo, Costado Mall Plaza Antofagasta, Centro De Antofagasta, Antofagasta",antofagasta,1200000,2,2,65,18462
Acogedor Dpto. Amoblado 3d En Avda. Cerro Paranal S. Sur!,"Av. Cerro Paranal, Antofagasta, Coviefi, Antofagasta",antofagasta,1200000,3,2,90,13333
Departamento En Arriendo De 2 Dorm. En Antofagasta,"Departamento En Edificio San Martin, Frente Al AIEP, Centro De La Ciudad, Centro De Antofagasta, Antofagasta",antofagasta,700000,2,2,50,14000
Arriendo Departamento 3 Dormitorios 1 Baño 1 Estacionamiento,"Oficina Lastenia, Antofagasta, La Chimba, Antofagasta",antofagasta,550000,3,1,58,9483
Departamento En Arriendo De 2 Dorm. En Antofagasta,"Edificio Travesía De La Playa, Costado Del Hotel Geotel, Jardines Del Sur, Jardines Del Sur, Antofagasta",antofagasta,750000,2,2,70,10714
Arriendo Amoblado Dpto De 3d 2b- Sector Parque Brasil- Costa,"Manuel Verbal 1632, Antofagasta, Chile, Parque Brasil, Antofagasta",antofagasta,900000,3,2,76,11842
"Espectacular Dpto., Full Amoblado Parque Ingles.","C. Salar Grande 121, Antofagasta, Playa Blanca, Antofagasta",antofagasta,650000,1,1,40,16250
Departamento Amoblado En Arriendo De 2 Dorm. En Antofagasta,"Edificio Bahamas - Cerro Paranal A Pasos Del Colegio Chañares, Antofagasta",antofagasta,1100000,2,2,75,14667
Puerto Nuevo Antofagasta Dpto. 1 Dormitorio,"Av. Balmaceda 2455, Antofagasta, Centro De Antofagasta, Antofagasta",antofagasta,627855,1,1,44,14269
"Av. Argentina, Cercano Supermercado, Sector Sur.","Avenida Argentina 2100 - 2400, Antofagasta, Chile, Coviefi, Antofagasta",antofagasta,680000,3,2,95,7158
Departamento En Arriendo En Antofagasta,"Departamento Edificio Capricornio, Parque Brasil, Antofagasta",antofagasta,780000,2,2,70,11143
Departamento En Arriendo En Antofagasta,"Amoblado Las Lozas, Parque Juan Lopez, Parque Juan López, Antofagasta",antofagasta,700000,3,2,76,9211
Departamento En Arriendo En Antofagasta,"Edificio Martinica, A Pasos De La Costanera Y Nuevo Mall Parque Angamos, Antofagasta",antofagasta,790000,3,2,88,8977
Arriendo  Sector Centro -dpto 1 D.1 B.1 E- Puerto Nuevo,"Av. Balmaceda 2415, Antofagasta, Centro De Antofagasta, Antofagasta",antofagasta,700000,1,1,35,20000
"Arriendo Depto E. Perez Zujovic, Ed Galileo, Antofagasta","Avenida Edmundo Perez Zujovic, Hospital Regional, Antofagasta",antofagasta,650000,3,2,80,8125
Arriendo Cómodo Depto 2d/2b/estac/bod Excelente Ubicación,"Oviedo Cavada  4455, Playa Paraíso, Antofagasta",antofagasta,615000,2,2,63,9762
Se Arrienda Departamento Amoblado En Av Argentina,"Av. Argentina 1200 - 1500, Antofagasta, Parque Brasil, Antofagasta",antofagasta,950000,2,2,75,12667
Acogedor Dpto. Amoblado 3d En Avda. Cerro Paranal S. Sur!,Antofagasta,antofagasta,1200000,3,2,90,13333
Departamento En Arriendo De 2 Dorm. En Antofagasta,"Edificio Triología Sur, Sector Llacolen, Antofagasta",antofagasta,900000,2,2,80,11250
¡tu Próximo Hogar Te Espera En La Mejor Zona De La Ciudad!,"Tr.ª De Los Vientos 02951, Antofagasta, Jardines Del Sur, Antofagasta",antofagasta,585000,2,1,43,13605
Arriendo Departamento Para Empresas En Av Cerro Paranal,"Av. Cerro Paranal 270, Antofagasta, Coviefi, Antofagasta",antofagasta,1500000,3,2,76,19737
Departamento 2d-2b Amoblado Hermoso En Edificio Puerto Nuevo,"Av. Balmaceda 2455, Antofagasta, Centro De Antofagasta, Antofagasta",antofagasta,1294951,2,2,67,19328
"Arriendo Departamento Uribe, Edificio Icono, Antofagasta","Uribe, Centro De Antofagasta, Antofagasta",antofagasta,500000,1,1,40,12500
Acogedor Depto. Amoblado 3d En Torres Costa Laguna,"Gladys Marín, Antofagasta, Costa Laguna, Antofagasta",antofagasta,1200000,3,2,90,13333
Departamento En Arriendo De 2 Dorm. En Antofagasta,"Edificio Ancora, Cascadas Del Sur, A Pasos Del Jumbo Y Colegio Chañares, Coviefi, Antofagasta",antofagasta,750000,2,2,70,10714
"Arriendo Departamento 2 Dormitorios, 2 Baños,sector Coviefi","Antilhue 1675, Antofagasta, Coviefi, Antofagasta",antofagasta,760000,2,2,55,13818
Departamento En Arriendo De 1 Dorm. En Antofagasta,"Oficina Lastenia, La Chimba, Antofagasta",antofagasta,460000,1,1,40,11500
Hermoso Depto. Exclusiva Vista Al Mar En Valle Del Mar,"Valle Del Mar, Jardines Del Sur, Antofagasta",antofagasta,850000,2,2,85,10000
Departamento En Arriendo De 3 Dorm. En Antofagasta,"Departamento Edificio Travesía De La Playa, Jardines Del Sur, Jardines Del Sur, Antofagasta",antofagasta,1180000,3,2,90,13111
Departamento En Arriendo En Antofagasta,"Departamento Edificio Icono, Full Amoblado, Centro De Antofagasta, Antofagasta",antofagasta,690000,1,1,45,15333
Departamento Amoblado Y Completamente Equipado.,"Av. Jaime Guzmán Errázuriz, Antofagasta, Antofagasta",antofagasta,1250000,4,2,145,8621
Departamento En Arriendo De 1 Dorm. En Antofagasta,"Departamento Amoblado,Edificio Rimini, Frente Al Colegio Chañares, Coviefi, Antofagasta",antofagasta,720000,1,1,36,20000
Departamento Estudio Semi Amoblado Antofagasta Puerto Nuevo,"Av. Balmaceda 2455, Antofagasta, Centro De Antofagasta, Antofagasta",antofagasta,549373,1,1,30,18312
Excelente Departamento Arriendo Sector Centro Vista Al Mar,"Av. Séptimo De Línea 3480, Antofagasta, Playa Paraíso, Antofagasta",antofagasta,650000,2,2,85,7647
Departamento Semi Amoblado Cerro Paranal,"Av. Cerro Paranal 375, Antofagasta, Coviefi, Antofagasta",antofagasta,1200000,2,2,80,15000
"Bello Depto Sur, Arriendo Frente Paseo Del Mar Antofagasta","Av. Jaime Guzmán Errázuriz, Antofagasta, Antofagasta",antofagasta,580000,1,1,40,14500
Departamento Sector Sur Cero Paranal 3 Dor.,"Av. Cerro Paranal 300 - 600, Antofagasta, Coviefi, Antofagasta",antofagasta,950000,3,2,94,10106
Dueño Arrienda Hermoso Depto Vista Al Mar Costa Laguna 2d 2b,"Gladys Marín 625, Antofagasta, Chile, Costa Laguna, Antofagasta",antofagasta,760000,2,2,53,14340
Excelente Departamento Arriendo Avenida Brasil Antofagasta,"Av. Gral. Bernardo O'Higgins 1215, Antofagasta, Parque Brasil, Antofagasta",antofagasta,630000,1,1,50,12600
Departamento Amoblado Sector Norte 2 Dor.,"Pirita 10200 - 10500, Antofagasta, Parque Juan López, Antofagasta",antofagasta,560000,2,1,49,11429
Hermoso Iluminado Y Cómodo Dpto Frente A  Playa Llacolen .,"Av Jaime Guzmán Errazuriz  04300, Jardines Del Sur, Antofagasta",antofagasta,960000,2,2,75,12800
Departamento Sector Parque Brasil 2 Dor.,"Salvador Reyes 940, Antofagasta, Parque Brasil, Antofagasta",antofagasta,900000,2,2,66,13636
Departamento 2 Dormitorio Centrico,"Teniente Manuel Orella 643, Antofagasta, Centro De Antofagasta, Antofagasta",antofagasta,750000,2,2,50,15000
Departamento Amoblado Ideal Ejecutivo Rimini,"Av. Cerro Paranal 380, Antofagasta, Coviefi, Antofagasta",antofagasta,770000,1,1,35,22000
Departamento En Arriendo De 1 Dorm. En Antofagasta,"Parque Croata, Playa Blanca, Antofagasta",antofagasta,700000,1,1,65,10769
Se Arrienda Apartamento Amoblado En Edificio Balmaceda,"Av. Balmaceda 2455, Antofagasta, Centro De Antofagasta, Antofagasta",antofagasta,750000,1,1,45,16667
Hermoso Departamento Un Dormitorio Amoblado,"Oficina Pedro De Valdivia 196, Antofagasta, Parque Juan López, Antofagasta",antofagasta,680000,1,1,35,19429
Departamento Mariposa Sin Muebles Excelente Ubicación,"Av. Argentina 1665, Antofagasta, Parque Brasil, Antofagasta",antofagasta,730000,2,2,60,12167
Departamento Sector Sur 3 Dor.,"C. Llullaillaco 02451, Antofagasta, Jardines Del Sur, Antofagasta",antofagasta,550000,3,1,49,11224
Departamento A Estrenar Sector Centro,"C. Caracoles 3300 - 3600, Antofagasta, Playa Paraíso, Antofagasta",antofagasta,390000,1,1,22,17727
