nombre,precio,dormitorios,baños,metros,direccion,ciudad
Arriendo Casa Central Para Empresas (amoblada) Antofagasta.,$2.600.000,7 dormitorios,7 baños,,"Av. Argentina 3198, Antofagasta, Chile, Centro De Antofagasta, Antofagasta",antofagasta
"Dpto. 2 Dorm. En Arriendo, Sector Norte",$690.000,2 dormitorios,2 baños,67 m² útiles,"Avenida Edmundo Pérez Zujovic 10890, Antofagasta, Chile, La Chimba, Antofagasta",antofagasta
¡excelente Oportunidad! Arriendo Departamento Amoblado Sect,$750.000,1 dormitorio,1 baño,40 m² útiles,"Las Colonias  621, Antofagasta, Estadio Calvo Y Bascuñán, Antofagasta",antofagasta
"Se Arrienda Departamento $550.00.- + Gastos Comunes, Sector",$550.000,1 dormitorio,1 baño,,"Avenida Angamos 1087, Antofagasta, Chile, Estadio Calvo Y Bascuñán, Antofagasta",antofagasta
Excelente Oportunidad! Se Arrienda Departamento $670.000-con,$670.000,3 dormitorios,2 baños,,"Benito Ocampo 11640, Antofagasta, Chile, La Chimba, Antofagasta",antofagasta
¡excelente Oportunidad! Arriendo Departamento Sector Gran V,$650.000,1 dormitorio,1 baño,,"Las Colonias 621, Antofagasta, Chile, Estadio Calvo Y Bascuñán, Antofagasta",antofagasta
Excelente Oportunidad!! $1.300.000 Se Arrienda Amplio Y Herm,$1.300.000,3 dormitorios,2 baños,,"Alcalde German Miric Vega 621, Antofagasta, Chile, Coviefi, Antofagasta",antofagasta
Se Arrienda Departamento En Sector Costa Laguna,$1.000.000,4 dormitorios,2 baños,120 m² útiles,"Gladys Marín 625, Antofagasta, Costa Laguna, Antofagasta",antofagasta
Se Arrienda Departamento Cerro Paranal,$950.000,3 dormitorios,2 baños,83 m² útiles,"Av. Cerro Paranal 515, Antofagasta, Coviefi, Antofagasta",antofagasta
Se Arrienda Departamento En Condominio Lomas Del Norte Ii,$800.000,3 dormitorios,2 baños,31 m² útiles,"Félix García 320, Antofagasta, Parque Juan López, Antofagasta",antofagasta
Se Arrienda Departamento En Condominio Velas Del Norte Ii,$540.000,2 dormitorios,1 baño,50 m² útiles,"Ascotán Nte. 145, Antofagasta, La Chimba, Antofagasta",antofagasta
Se Arrienda Departamento En Condominio Parque Costanera,$620.000,3 dormitorios,2 baños,75 m² útiles,"El Azufre 23, Antofagasta, Nicolás Tirado, Antofagasta",antofagasta
Se Arrienda Departamento Amoblado En Cerro Paranal,$1.350.000,3 dormitorios,2 baños,80 m² útiles,"Av. Cerro Paranal 270, Antofagasta, Coviefi, Antofagasta",antofagasta
Se Arrienda Departamento Amoblado En Condominio Bonasort Vi,$565.000,3 dormitorios,1 baño,59 m² útiles,"Oficina Lastenia 11810, Antofagasta, La Chimba, Antofagasta",antofagasta
Se Arrienda Departamento En Edificio Las Garzas,$500.000,1 dormitorio,1 baño,39 m² útiles,"Sierra Nevada 11110, Antofagasta, La Chimba, Antofagasta",antofagasta
Se Arrienda Departamento En Sargento Aldea,$440.000,1 dormitorio,1 baño,34 m² útiles,"Sgto. Aldea 315, Antofagasta, Hospital Regional, Antofagasta",antofagasta
Se Arrienda Departamento En Condominio Velas Del Norte,$595.000,2 dormitorios,2 baños,40 m² útiles,"Ascotán Nte. 131, Antofagasta, La Chimba, Antofagasta",antofagasta
Se Arrienda Departamento En Condominio Faro Norte,$732.000,2 dormitorios,2 baños,61 m² útiles,"Ascotán Nte. 155, Antofagasta, La Chimba, Antofagasta",antofagasta
Se Arrienda Departamento Amoblado Sector Centro Norte,$550.000,1 dormitorio,1 baño,30 m² útiles,"Av. Edmundo Pérez Zujovic 5490, Antofagasta, Hospital Regional, Antofagasta",antofagasta
Se Arrienda Departamento En Condominio Las Garzas,$500.000,1 dormitorio,1 baño,39 m² útiles,"Sierra Nevada 11110, Antofagasta, La Chimba, Antofagasta",antofagasta
Arriendo Departamento 3hab 2ba Antofagasta,$900.000,3 dormitorios,2 baños,100 m² útiles,"José Toribio Medina, 256, Estadio Calvo Y Bascuñán, Antofagasta",antofagasta
Amplio Departamento Con Patio Sector Sur,UF35,3 dormitorios,2 baños,150 m² útiles,"Travesía Del Cerro, 2904, Jardines Del Sur, Antofagasta",antofagasta
"2 Dormitorios, Vista Al Mar Con Estacionamiento",$790.000,2 dormitorios,2 baños,4 m² útiles,"Avenida Jaime Guzmán Errázuriz, 4100, Antofagasta",antofagasta
Se Arrienda Hermoso Departamento En Edificio Novo,$530.000,2 dormitorios,2 baños,54 m² útiles,"Almte. Juan José Latorre 3002, Antofagasta, Centro De Antofagasta, Antofagasta",antofagasta
Arriendo Departamento Amoblado  Avenida Cerro Paranal,$1.300.000,3 dormitorios,2 baños,112 m² útiles,"Paranal, 360, Coviefi, Antofagasta",antofagasta
Se Arrienda Departamento En Condominio Caparrosa Iii,$415.000,1 dormitorio,1 baño,38 m² útiles,"Limonita 10590, Antofagasta, Parque Juan López, Antofagasta",antofagasta
Departamento 1d1b1e1b  Sector Sur,$650.000,1 dormitorio,1 baño,45 m² útiles,"Antilhue, 730, Coviefi, Antofagasta",antofagasta
Departamento Costa Laguna 3d1b1e 5to Piso,$650.000,3 dormitorios,1 baño,61 m² útiles,"Los Conquistadores, 13755, Costa Laguna, Antofagasta",antofagasta
Se Arrienda Departamento En Sargento Aldea,$500.000,2 dormitorios,1 baño,47 m² útiles,"Sgto. Aldea 315, Antofagasta, Hospital Regional, Antofagasta",antofagasta
Se Arrienda Departamento Amoblado En Edicifio Alto Mar,$640.000,2 dormitorios,2 baños,80 m² útiles,"Teniente Manuel Orella 643, Antofagasta, Centro De Antofagasta, Antofagasta",antofagasta
Oportunidad De Arriendo Sector Centro,$1.050.000,3 dormitorios,3 baños,110 m² útiles,"Avenida Argentina, 2272, Centro De Antofagasta, Antofagasta",antofagasta
Se Arrienda Departamento Amoblado En Costa Laguna,$650.000,3 dormitorios,2 baños,75 m² útiles,"Sergio Ortega, Antofagasta, Costa Laguna, Antofagasta",antofagasta
Se Arrienda Departamento En Costa Laguna,$570.000,3 dormitorios,2 baños,75 m² útiles,"Sergio Ortega, Antofagasta, Costa Laguna, Antofagasta",antofagasta
Gran Oportunidad De Arriendo En Sector Sur,$990.000,3 dormitorios,2 baños,90 m² útiles,"Avenida República De Croacia, 795, Estadio Calvo Y Bascuñán, Antofagasta",antofagasta
Arriendo Departamento Duplex Semi Amoblado,$700.000,2 dormitorios,2 baños,85 m² útiles,"Calle Salar Grande, 121, Playa Blanca, Antofagasta",antofagasta
Se Arrienda Departamento Sector Centro Norte,$650.000,2 dormitorios,2 baños,67 m² útiles,"Av. Antonio Rendic 4727, Antofagasta, Hospital Regional, Antofagasta",antofagasta
"Departamento Con Vista Al Mar, Sector Sur",$800.000,2 dormitorios,2 baños,55 m² útiles,"Jardines Del Sur, Antofagasta",antofagasta
"Hermoso Depto. Con Vista Al Mar, Sector Sur",$1.100.000,3 dormitorios,2 baños,104 m² útiles,"Jardines Del Sur, Antofagasta",antofagasta
Hermoso Departamento Amoblado Sector Sur.,$1.350.000,3 dormitorios,2 baños,87 m² útiles,"Coviefi, Antofagasta",antofagasta
"Hermoso Departamento Con Vista Al Mar, Sector Sur.",$1.100.000,3 dormitorios,2 baños,110 m² útiles,Antofagasta,antofagasta
"Departamento Nuevo 2d, Sector Norte",$690.000,2 dormitorios,1 baño,53 m² útiles,"Trocadero, Antofagasta",antofagasta
Hermoso Departamento Amoblado Para Ejecutivos Y Empresas,$1.200.000,2 dormitorios,2 baños,83 m² útiles,"Coviefi, Antofagasta",antofagasta
"Departamento Con Vista Al Mar, Sector Sur",$850.000,3 dormitorios,2 baños,89 m² útiles,Antofagasta,antofagasta
"Departamento Amoblado Con Vista Al Mar, Sector Sur",$950.000,2 dormitorios,2 baños,76 m² útiles,"Coviefi, Antofagasta",antofagasta
Departamento Amoblado Con Vista Al Mar,$950.000,3 dormitorios,2 baños,75 m² útiles,"Centro De Antofagasta, Antofagasta",antofagasta
"Departamento Amoblado 3 Dormitorios, Sector Norte",$850.000,3 dormitorios,2 baños,76 m² útiles,"Nicolás Tirado, Antofagasta",antofagasta
"Departamento Full Amoblado Con Vista Al Mar, Sector Sur",$1.100.000,2 dormitorios,2 baños,54 m² útiles,"Centro De Antofagasta, Antofagasta",antofagasta
"Departamento Full Amoblado Con Vista Al Mar, Sector Sur",$900.000,3 dormitorios,2 baños,70 m² útiles,"Playa Blanca, Antofagasta",antofagasta
Departamento Cerca Lider Express,$650.000,2 dormitorios,1 baño,46 m² útiles,"Hospital Regional, Antofagasta",antofagasta
"Arriendo Departamento A Pasos De Arauco Express, Centronorte",$530.000,2 dormitorios,1 baño,40 m² útiles,"Sgto. Aldea 300 - 600, Antofagasta, Hospital Regional, Antofagasta",antofagasta
¡espacioso Dpto. En Arriendo,$730.000,3 dormitorios,2 baños,90 m² útiles,"ENTRE SALVADOR ALLENDE Y AVENIDA ANTONIO RENDIC, Hospital Regional, Antofagasta",antofagasta
Arriendo Depto. Amoblado En Antofagasta,$790.000,1 dormitorio,1 baño,50 m² útiles,"URIBE CON WASHINGTON, Centro De Antofagasta, Antofagasta",antofagasta
Gran Departamento Av. Brasil  (101205),$1.100.000,4 dormitorios,3 baños,150 m² útiles,"Antonino Toro 1 - 300, Parque Brasil, Antofagasta",antofagasta
"Departamento Full Amoblado, Edificio Maitén Antofagasta",$620.000,1 dormitorio,1 baño,43 m² útiles,"Lidia Moreno 177, 1240000 Antofagasta, Chile, Parque Juan López, Antofagasta",antofagasta
Se Arrienda Dpto Amoblado A Empresas.  (86651),$1.500.000,2 dormitorios,2 baños,60 m² útiles,"Galleguillos Lorca 600 - 900, Parque Brasil, Antofagasta",antofagasta
Depto. Amoblado A Empresas.  En Cerro Paranal (95928),$900.000,3 dormitorios,3 baños,95 m² útiles,"Avenida Cerro Paranal 1 - 300, Coviefi, Antofagasta",antofagasta
Cómodo Depto. Ubicado En Parque Universitario (94401),$550.000,3 dormitorios,1 baño,40 m² útiles,"Oportunidad Arriendo En Portal Universitario, Jardines Del Sur, Antofagasta",antofagasta
Departamento Para Empresas En Antofagasta (97997),$1.500.000,4 dormitorios,3 baños,125 m² útiles,"Departamento Amoblado En Antofagasta, Antofagasta",antofagasta
Exclusivo Departamento  (101071),$900.000,3 dormitorios,2 baños,72 m² útiles,"Antilhue 600 - 900, Antofagasta, Chile, Playa Blanca, Antofagasta",antofagasta
Se Arrienda Amplio Dpto Sector Sur  (93919),$1.200.000,3 dormitorios,3 baños,119 m² útiles,"Calle Valle Del Atardecer 1 - 300, Jardines Del Sur, Antofagasta",antofagasta
Se Arrienda Depto Edificio Porto Alegre (101426),$1.400.000,3 dormitorios,3 baños,120 m² útiles,"Galleguillos Lorca 1 - 300, Parque Brasil, Antofagasta",antofagasta
Se Arrienda Departamento Nuevo. (98346),$850.000,3 dormitorios,2 baños,107 m² útiles,"Se Arrienda Departamento Nuevo., Estadio Calvo Y Bascuñán, Antofagasta",antofagasta
Arriendo Depto Sector Sur Antofagasta (99408),$850.000,3 dormitorios,2 baños,100 m² útiles,"ARRIENDO DEPTO 1 - 300DORMITORIOS ANTOFAGASTA, Playa Blanca, Antofagasta",antofagasta
Hermoso Depto Sector Llacolen,$1.200.000,3 dormitorios,3 baños,110 m² útiles,"Av. Jaime Guzmán Errázuriz, Antofagasta, Antofagasta",antofagasta
Arriendo A Empresas Y Particulares (102409),$1.400.000,3 dormitorios,3 baños,120 m² útiles,"Luis Franco Ávalos, Antofagasta, Chile, Playa Blanca, Antofagasta",antofagasta
Depto Amoblado En Sector Costa Laguna,$780.000,3 dormitorios,2 baños,80 m² útiles,"Gladys Marín, Antofagasta, Costa Laguna, Antofagasta",antofagasta
Departamento En Llacolén 2d 2b (99367),$820.000,2 dormitorios,2 baños,71 m² útiles,"Acogedor Depto 1 - 300D 2B Sur De Antofagasta, Jardines Del Sur, Antofagasta",antofagasta
Vista Espectacular Valle Del Mar (98464),$900.000,2 dormitorios,2 baños,96 m² útiles,"Hermoso Departamento Valle Del Mar, Jardines Del Sur, Antofagasta",antofagasta
Se Arrienda Departamento (99136),$1.100.000,3 dormitorios,2 baños,104 m² útiles,"SE ARRIENDA DEPARTAMENTO, Jardines Del Sur, Antofagasta",antofagasta
Arriendo Departamento Hermosa Vista (100266),$850.000,2 dormitorios,2 baños,68 m² útiles,"Avenida Cerro Paranal 300 - 600, Antofagasta, Chile, Coviefi, Antofagasta",antofagasta
Departamento Palmas Del Sur 1 (101607),$790.000,2 dormitorios,2 baños,70 m² útiles,"Avenida Jaime Guzmán Errázuriz 1 - 300, Jardines Del Sur, Antofagasta",antofagasta
Hermoso Departamento Llacolen  (101137),$800.000,2 dormitorios,2 baños,70 m² útiles,"Avenida Jaime Guzmán Errázuriz 1500 - 1800, Jardines Del Sur, Antofagasta",antofagasta
Amplio Depto Frente Al Mar Sector Llacolen,$1.350.000,3 dormitorios,2 baños,130 m² útiles,"Av. Jaime Guzmán Errázuriz, Antofagasta, Antofagasta",antofagasta
Excéntrico Conectividad Ricaventura   (101035),$850.000,2 dormitorios,2 baños,71 m² útiles,"Avenida Rica Aventura 1 - 300, Parque Juan López, Antofagasta",antofagasta
Se Arrienda Departamento En Antofagasta (102980),$620.000,3 dormitorios,1 baño,55 m² útiles,"Sierra Nevada 10500 - 10800, Parque Juan López, Antofagasta",antofagasta
Se Arrienda Departamento En Antofagasta (102977),$550.000,3 dormitorios,1 baño,45 m² útiles,"Calle Llullaillaco 2100 - 2400, Jardines Del Sur, Antofagasta",antofagasta
Se Arrienda Departamento En Antofagasta (101000),$1.000.000,3 dormitorios,2 baños,95 m² útiles,"Osvaldo Silva Castellón 1 - 300, Playa Blanca, Antofagasta",antofagasta
Arriendo Departamento En Sector Norte (98224),$550.000,1 dormitorio,1 baño,40 m² útiles,"Se Arrienda Departamento En Sector Norte, Parque Juan López, Antofagasta",antofagasta
Se Arrienda Departamento (101893),$720.000,3 dormitorios,2 baños,78 m² útiles,"El Yodo 1 - 300, Nicolás Tirado, Antofagasta",antofagasta
Arriendo Departamento (101899),$750.000,3 dormitorios,2 baños,74 m² útiles,"Ascotán Norte 1 - 300, La Chimba, Antofagasta",antofagasta
Se Arrienda Departamento En Condominio Faro Norte,$650.000,2 dormitorios,2 baños,52 m² útiles,"Ascotán Norte 155, Antofagasta, Chile, La Chimba, Antofagasta",antofagasta
Se Arrienda Departamento En Condominio Faro Norte,$650.000,2 dormitorios,2 baños,52 m² útiles,"Ascotán Nte. 1 - 300, Antofagasta, La Chimba, Antofagasta",antofagasta
Departamento Excelente Ubicación Parque Brasil 5d/3b Sin Gc,$1.100.000,5 dormitorios,3 baños,134 m² útiles,"Av. Gral. Bernardo O'Higgins 1200 - 1500, Antofagasta, Parque Brasil, Antofagasta",antofagasta
Arriendo  987005522,$750.000,2 dormitorios,2 baños,60 m² útiles,"Balmaceda  1414, Antofagasta, Calama SN, Hospital Regional, Antofagasta",antofagasta
Se Arrienda Departamento Duplex En Condominio Parque Juan Ló,$1.000.000,4 dormitorios,2 baños,100 m² totales,"Lidia Moreno, Parque Juan López, Antofagasta",antofagasta
Arriendo Departamentos Full Amoblados De Dos Y Tres Dormitor,$1.700.000,3 dormitorios,2 baños,130 m² totales,"JAIME GUZMAN ERRAZURIZ, Jardines Del Sur, Antofagasta",antofagasta
Se Arrienda Apart Hotel Con 12 Habitaciones Con Baño Privado,UF280,12 dormitorios,13 baños,725 m² totales,"Cerca Del Antonino Heladería Y Churrería, Parque Brasil, Antofagasta",antofagasta
Se Arrienda Depto 2d+2b+1est Sin Amoblar 1.000.000/ Semiamob,$1.000.000,2 dormitorios,2 baños,83 m² útiles,"Llacolén, Jardines Del Sur, Antofagasta",antofagasta
Se Arrienda Departamento Sin Amoblar En Cerro Paranal De 1 D,$620.000,1 dormitorio,1 baño,44 m² útiles,"Cerro Paranal 515, Coviefi, Antofagasta",antofagasta
Se Arrienda Departamento En El Azufre 23 De 2 D+2b+1 Est Y 1,$630.000,2 dormitorios,2 baños,70 m² totales,"EL Azufre 23, Nicolás Tirado, Antofagasta",antofagasta
Exclusiva Ubicación 4d 3b Full Amoblado,$1.200.000,4 dormitorios,3 baños,111 m² totales,"Avenida Jaime Guzmán 04794, Antofagasta",antofagasta
Se Arrienda Departamento Grande Playa Llacolen,$900.000,3 dormitorios,2 baños,120 m² totales,"Avenida Jaime Guzman 04794, Centro De Antofagasta, Antofagasta",antofagasta
Se Arrienda Departamento Amoblado Jardines Del Sur,$2.000.000,3 dormitorios,3 baños,140 m² útiles,"Avenida Claudio Arrau, Jardines Del Sur, Antofagasta",antofagasta
Se Arrienda Espectacular Departamento Amoblado Estilo Maripo,$850.000,2 dormitorios,2 baños,52 m² útiles,"Av. Argentina A Pasos De La Avenida Brasil, Parque Brasil, Antofagasta",antofagasta
Exclusiva Ubicación Full Amoblado 3d2b,$1.420.000,3 dormitorios,2 baños,93 m² totales,"Cerro Paranal 270, Coviefi, Antofagasta",antofagasta
Dpto. 2d2b Full Amoblado Ed Santos Ossa,$790.000,2 dormitorios,2 baños,50 m² útiles,"Calle Copiapo 801, Parque Brasil, Antofagasta",antofagasta
Cerro Paranal Dpto. 2d2b Full Amoblado,$950.000,2 dormitorios,2 baños,1 m² útiles,"Avenida Cerro Paranal 210, Coviefi, Antofagasta",antofagasta
Cerro Paranal Dpto. 3d2b Amoblado - Propiedades Ok,$1.350.000,3 dormitorios,2 baños,96 m² totales,"Avenida Cerro Paranal 271, Coviefi, Antofagasta",antofagasta
"Arriendo Departamento En Jardines Del Sur,  Ciudad De Antofa",$1.200.000,3 dormitorios,3 baños,1 m² totales,"JARDINES DEL SUR, Jardines Del Sur, Antofagasta",antofagasta
Se Arrienda Departamento Amoblado Sector Norte,$850.000,3 dormitorios,2 baños,73 m² útiles,"BONASORT 9, La Chimba, Antofagasta",antofagasta
Arriendo Departamento En El Edificio Torre Del Mar Sector No,$1.100.000,3 dormitorios,2 baños,1 m² totales,"Av. Pedro Aguirre Cerda, Jardines Del Sur, Antofagasta",antofagasta
Espectacular Departamento En Arriendo,$700.000,3 dormitorios,1 baño,76 m² útiles,"CONDOMINIO VOLCANES, Parque Juan López, Antofagasta",antofagasta
Hermoso Departamento En Arriendo,$580.000,1 dormitorio,1 baño,44 m² útiles,"EDIFICIO  ROBLE, Parque Juan López, Antofagasta",antofagasta
"Scp Arrienda Depto Sector Norte De Antofagasta, 3h 2b.",$1.200.000,3 dormitorios,2 baños,88 m² útiles,"SCP ARRIENDA DEPTO SECTOR NORTE DE ANTOFAGASTA, 3H 2B., La Chimba, Antofagasta",antofagasta
Se Arrienda Departamento Nuevo,$800.000,2 dormitorios,2 baños,60 m² útiles,"ANTOFAGASTA, Antofagasta",antofagasta
Se Arrienda Departamento,$800.000,2 dormitorios,2 baños,60 m² útiles,"ANTOFAGASTA, Antofagasta",antofagasta
Se Arrienda Departamento,$860.000,3 dormitorios,2 baños,112 m² útiles,"ANTOFAGASTA, La Chimba, Antofagasta",antofagasta
Se Arrienda Departamento,$690.000,2 dormitorios,2 baños,60 m² útiles,"ANTOFAGASTA, Parque Juan López, Antofagasta",antofagasta
Se Arrienda Departamento,$600.000,2 dormitorios,1 baño,65 m² útiles,"ANTOFAGASTA, La Chimba, Antofagasta",antofagasta
Se Arrienda Departamento,$670.000,3 dormitorios,2 baños,90 m² útiles,"ANTOFAGASTA, Nicolás Tirado, Antofagasta",antofagasta
Se Arrienda Departamento,$700.000,2 dormitorios,2 baños,55 m² útiles,"ANTOFAGASTA, Centro De Antofagasta, Antofagasta",antofagasta
Se Arrienda Departamento,$600.000,2 dormitorios,2 baños,65 m² útiles,"ANTOFAGASTA, Centro De Antofagasta, Antofagasta",antofagasta
Se Arrienda Departamento Amoblado,$710.000,1 dormitorio,1 baño,60 m² útiles,"ANTOFAGASTA, Parque Juan López, Antofagasta",antofagasta
Se Arrienda Departamento,$950.000,3 dormitorios,2 baños,90 m² útiles,"ANTOFAGASTA, Antofagasta",antofagasta
Se Arrienda Departamento Amoblado,$610.000,2 dormitorios,1 baño,66 m² útiles,"ANTOFAGASTA, Centro De Antofagasta, Antofagasta",antofagasta
Se Arrienda Departamento Amoblado,$680.000,3 dormitorios,1 baño,60 m² útiles,"ANTOFAGASTA, Parque Juan López, Antofagasta",antofagasta
Se Arrienda Departamento,$600.000,2 dormitorios,1 baño,60 m² útiles,"ANTOFAGASTA, La Chimba, Antofagasta",antofagasta
"Scp Arrienda Depto 3h ,3b Y 2e, Av Argentina",$1.050.000,3 dormitorios,3 baños,97 m² útiles,"SCP ARRIENDA DEPTO 3H ,3B Y 2E, AV ARGENTINA, Centro De Antofagasta, Antofagasta",antofagasta
Se Arrienda Departamento,$510.000,3 dormitorios,1 baño,65 m² útiles,"ANTOFAGASTA, Costa Laguna, Antofagasta",antofagasta
Se Arrienda Departamento,$630.000,3 dormitorios,2 baños,90 m² útiles,"ANTOFAGASTA, La Chimba, Antofagasta",antofagasta
Se Arrienda Departamento,$570.000,2 dormitorios,1 baño,55 m² útiles,"ANTOFAGASTA, Centro De Antofagasta, Antofagasta",antofagasta
Se Arrienda Departamento,$1.150.000,3 dormitorios,2 baños,100 m² útiles,"ANTOFAGASTA, Costa Laguna, Antofagasta",antofagasta
Depto. Caparrosa I,$550.000,1 dormitorio,1 baño,38 m² útiles,"DEPTO. CAPARROSA I, Parque Juan López, Antofagasta",antofagasta
"Scp Arrienda Dept , 2h, 1b, 1e Sector Costa Laguna Amoblado",$700.000,2 dormitorios,1 baño,57 m² útiles,"SCP ARRIENDA DEPT , 2H, 1B, 1E SECTOR COSTA LAGUNA AMOBLADO, Costa Laguna, Antofagasta",antofagasta
Depto. Amoblado Edificio Don Pedro,$1.300.000,3 dormitorios,2 baños,100 m² útiles,"DEPTO. AMOBLADO EDIFICIO DON PEDRO, Centro De Antofagasta, Antofagasta",antofagasta
Se Arrienda Departamento,$850.000,2 dormitorios,2 baños,65 m² útiles,"ANTOFAGASTA, La Chimba, Antofagasta",antofagasta
Antofagasta,$680.000,2 dormitorios,2 baños,75 m² útiles,"ANTOFAGASTA, Nicolás Tirado, Antofagasta",antofagasta
Se Vende Departamento,UF2.350,1 dormitorio,1 baño,50 m² útiles,"ANTOFAGASTA, Nicolás Tirado, Antofagasta",antofagasta
"Bello Depto Sur, Arriendo Frente Paseo Del Mar Antofagasta",$580.000,1 dormitorio,1 baño,40 m² útiles,"Av. Jaime Guzmán Errázuriz, Antofagasta, Antofagasta",antofagasta
"Arriendo 3d, 2 B Antofagasta. Llacolén. Sin Aval. Sin I.p.c",$820.000,3 dormitorios,2 baños,97 m² útiles,"Av. Jaime Guzmán Errázuriz 5106, Antofagasta, Antofagasta",antofagasta
An189a Depto 3d2b1e1bo Línea Costera Bahía Blanca Sec. Norte,$870.000,3 dormitorios,2 baños,100 m² útiles,"Av Edmundo Perez Zujovic 10890, La Chimba, Antofagasta",antofagasta
Edif. Ipanema. 3d-3b Full Amoblado. Gci. Gran Departamento,$1.600.000,3 dormitorios,3 baños,100 m² útiles,"EDIF. IPANEMA. 3D-3B FULL AMOBLADO. GCI. GRAN DEPARTAMENTO, Parque Brasil, Antofagasta",antofagasta
Depto Avda Brasil 1d/1b Sin Amoblar,$680.000,1 dormitorio,1 baño,50 m² útiles,"DEPTO AVDA BRASIL 1D/1B SIN AMOBLAR, Parque Brasil, Antofagasta",antofagasta
Depto Vista Al Mar 3d1b1e Parque Universitario,$530.000,3 dormitorios,1 baño,50 m² útiles,"Emile Sironvalle 715, Antofagasta, Antofagasta 1240000, Chile, Jardines Del Sur, Antofagasta",antofagasta
Departamento Amoblado Excelente Ubicación Sector Sur,$700.000,1 dormitorio,1 baño,45 m² útiles,"Av. Argentina 1500 - 1800, Antofagasta, Parque Brasil, Antofagasta",antofagasta
Arriendo 3d2b (disponible Arriendo Con Opción De Compra),$820.000,3 dormitorios,2 baños,83 m² útiles,"Av. Jaime Guzmán Errázuriz 5106, Antofagasta",antofagasta
Se Arrienda Departamento Edificio Guadalupe Cerro Paranal,$950.000,3 dormitorios,2 baños,90 m² útiles,"Av. Cerro Paranal 375, Antofagasta, Coviefi, Antofagasta",antofagasta
"Edif. Copacabana, 2d-2b, Excelente Ubicación. Mas Gc.",$1.000.000,2 dormitorios,2 baños,70 m² útiles,"EDIF. COPACABANA, 2D-2B, EXCELENTE UBICACIÓN, Parque Brasil, Antofagasta",antofagasta
Arriendo Departamento Sector Sur Borde Costero,$650.000,1 dormitorio,1 baño,45 m² útiles,"Av. Jaime Guzmán Errázuriz 4300, Antofagasta, Antofagasta",antofagasta
Depto Full Amoblado 2d2b1e Sector Sur Av Argentina - Vyaok,$885.000,2 dormitorios,2 baños,53 m² útiles,"Avenida Argentina 1340, Antofagasta, Antofagasta 1240000, Chile, Parque Brasil, Antofagasta",antofagasta
Edif. Porvenir. Central. Gci. 1d-1b.,$580.000,1 dormitorio,1 baño,45 m² útiles,"EDIF. PORVENIR. CENTRAL. GCI. 1D-1B., Playa Paraíso, Antofagasta",antofagasta
Arrienda Su Dueño Depto 2 D 2 B En Suite Sin Comision,$1.300.000,2 dormitorios,2 baños,72 m² útiles,"Av. Balmaceda 2415, Antofagasta, Centro De Antofagasta, Antofagasta",antofagasta
Arriendo Departamento Edificio El Roble 3d 2b,$850.000,3 dormitorios,2 baños,92 m² útiles,"Oficina Pedro De Valdivia 196, Antofagasta, Parque Juan López, Antofagasta",antofagasta
Departamento En Arriendo Costa Laguna,$1.000.000,3 dormitorios,2 baños,112 m² útiles,"Gladys Marin 625 - Costa Laguna, Antofagasta",antofagasta
Hermoso Departamento Nuevo Sector Norte,$650.000,1 dormitorio,1 baño,48 m² útiles,"Sierra Nevada 11100 - 11400, Antofagasta, La Chimba, Antofagasta",antofagasta
Depto Costa Laguna Con Vista Al Mar,$900.000,3 dormitorios,2 baños,90 m² útiles,"Gladys Marín, Antofagasta, Costa Laguna, Antofagasta",antofagasta
Departamento 2d-2b Parque Costanera,$750.000,2 dormitorios,2 baños,63 m² útiles,"El Azufre 23, Antofagasta, Nicolás Tirado, Antofagasta",antofagasta
Depto 3d/2b Con Terraza Amplia Estac Y Bod. Av Cerro Paranál,$1.150.000,3 dormitorios,2 baños,89 m² útiles,"Av Cerro Paranal 375, Coviefi, Antofagasta",antofagasta
"Arriendo Departamento 3d/2b Frente Al Mar Av Croacia,antofa",$1.100.000,3 dormitorios,2 baños,114 m² útiles,"Av. República De Croacia 0284, Antofagasta, Playa Blanca, Antofagasta",antofagasta
"Departamento En Condominio Alcázar Del Mar,  Coviefi.",$800.000,3 dormitorios,2 baños,94 m² útiles,"Trumao 900 - 1200, Antofagasta, Coviefi, Antofagasta",antofagasta
Departamento Costado Jumbo Norte,$800.000,3 dormitorios,2 baños,89 m² útiles,"Pedro Aguirre Cerda  SN, Trocadero, Antofagasta",antofagasta
"Arriendo Hermoso Depto Av. Angamos Ed Foresta, Antofagasta",$800.000,3 dormitorios,2 baños,120 m² útiles,"Avenida Angamos, Parque Brasil, Antofagasta",antofagasta
Arriendo Depto 3d/ 2b Sector Brasil Antofagasta.,$950.000,3 dormitorios,2 baños,94 m² útiles,"General Velásquez  1046, Parque Brasil, Antofagasta",antofagasta
Departamento En Arriendo En Antofagasta,$890.000,3 dormitorios,2 baños,80 m² útiles,"Edificio Punta Diamante Torre A, Parque Brasil, Antofagasta",antofagasta
Departamento En Arriendo De 4 Dorm. En Antofagasta,$1.080.000,4 dormitorios,3 baños,107 m² útiles,"Departamento Edificio Ayres, Sector Llacolen, Cercano A Colegio A.I.S, Antofagasta",antofagasta
Departamento En Arriendo De 3 Dorm. En Antofagasta,$750.000,3 dormitorios,2 baños,82 m² útiles,"Departamento Nuevo Edificio Condores, Detras Del Jumbo Norte, Antofagasta",antofagasta
